address_name,category_group_code,category_group_name,category_name,id,phone,place_name,road_address_name,x,y,rating,review_count,blog_count,hourly_visit,img_url,waiting,update_time
서울 마포구 상수동 91-3,FD6,음식점,음식점 > 일식 > 일본식라면,2057792795,02-332-1660,칸다소바 홍대점,서울 마포구 와우산로 51-6,126.92267501638554,37.549285427892634,4.7,1186,92,"[23.3, 20.0, 19.4, 16.7, 16.7, 17.2, 16.7, 17.2, 17.2, 17.2, 17.2, 17.2, 17.2, 16.7, 16.7, 16.7, 30.6, 33.9, 37.8, 46.1, 31.7, 25.6, 29.4, 25.6]",https://img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F39082EF42E464D64ACCA8817A77C7E0E,0,2025-12-16
서울 마포구 서교동 407-3,FD6,음식점,음식점 > 술집 > 칵테일바,8101657,,클럽에반스,서울 마포구 와우산로 63,126.92288901613414,37.55026765598596,4.5,44,57,"[16.7, 16.7, 16.7, 16.7, 17.2, 17.2, 17.2, 17.2, 17.2, 17.2, 17.2, 17.2, 16.7, 16.7, 16.7, 16.7, 16.7, 16.7, 16.7, 41.7, 48.9, 46.7, 41.7, 23.9]",https://img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F366f5de05d533e85f8addc3aa3c947aff78f07d2%3Foriginal,0,2025-12-16
서울 마포구 서교동 362-11,FD6,음식점,음식점 > 중식,1702747478,02-6326-5964,수림식당 홍대점,서울 마포구 와우산로21길 19-19,126.922650053086,37.5515406100427,4.2,381,589,"[16.7, 16.7, 16.7, 16.7, 17.2, 17.2, 17.2, 17.2, 17.2, 17.2, 17.2, 42.2, 45.0, 38.3, 34.4, 26.1, 18.3, 32.2, 38.9, 42.8, 30.0, 23.9, 18.3, 16.7]",https://img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Fc38293623d1e186e322c1175145a0206d7bfa877%3Foriginal,0,2025-12-16
서울 마포구 서교동 369-4,FD6,음식점,음식점 > 한식,1985225055,010-9482-9185,홍대 조선시대,서울 마포구 홍익로3길 44,126.92150590347114,37.55264537945837,4.0,70,1264,"[16.7, 16.7, 16.7, 16.7, 17.2, 17.2, 17.2, 17.2, 17.2, 17.2, 17.2, 49.4, 44.4, 32.2, 30.6, 18.3, 40.6, 48.9, 46.7, 36.1, 27.8, 19.4, 16.7, 16.7]",https://img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F32966ED080494914BA26545404849581,0,2025-12-16
서울 마포구 상수동 72-1,FD6,음식점,음식점 > 샤브샤브,1363457164,02-336-5352,마루샤브스카이 홍대직영점,서울 마포구 와우산로 94,126.924912292829,37.552645792822496,4.8,161,169,"[16.7, 16.7, 16.7, 16.7, 17.2, 17.2, 17.2, 17.2, 17.2, 17.2, 17.2, 17.2, 16.7, 16.7, 16.7, 26.7, 28.3, 44.4, 52.8, 40.6, 32.8, 26.7, 18.9, 16.7]",https://img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F01286A0E1FA140E39F58D61D2A5E874C,0,2025-12-16
서울 마포구 상수동 327-7,FD6,음식점,"음식점 > 한식 > 육류,고기",1753129148,02-6012-0918,상수냉장고,서울 마포구 와우산로 23,126.92280227503407,37.54659152540154,4.3,22,372,"[16.7, 16.7, 16.7, 16.7, 17.2, 17.2, 17.2, 17.2, 17.2, 17.2, 17.2, 47.8, 43.3, 33.3, 25.0, 17.2, 16.7, 27.2, 45.0, 35.6, 23.3, 19.4, 16.7, 16.7]",https://img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNTExMjlfMTUy%2FMDAxNzY0NDIxODQ3MzYw.syqj2_Rcs7t23r7F7mgGGRsYE4cwb-YG6a9d96ls8ywg.zfh1sbfNiNvlxFIdYF_WJ1-baCmXFyYbJGq5AGwqzNcg.JPEG%2FIMG%25EF%25BC%25BF0894.jpg%3Ftype%3Dw386,0,2025-12-16
서울 마포구 서교동 404-8,FD6,음식점,음식점 > 중식 > 양꼬치,14839666,02-324-9212,심양 홍대점,서울 마포구 독막로9길 43,126.920535290192,37.5501579756375,4.1,116,198,"[16.7, 16.7, 16.7, 16.7, 17.2, 17.2, 16.7, 17.2, 17.2, 17.2, 17.2, 47.8, 33.9, 34.4, 43.3, 37.8, 44.4, 33.3, 40.6, 44.4, 43.3, 50.6, 35.6, 20.6]",https://img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Fe2c89f4ad116a68a7e280582b54b281ef5457f42%3Foriginal,0,2025-12-16
서울 마포구 상수동 315-8,FD6,음식점,음식점 > 분식,19909925,02-334-5205,홍대삭 상수본점,서울 마포구 독막로 71,126.9213218475811,37.54794925427472,3.3,65,319,"[25.6, 20.6, 16.1, 16.7, 17.2, 17.2, 16.7, 17.2, 17.2, 17.2, 17.2, 17.2, 16.7, 16.7, 16.7, 16.7, 16.7, 23.9, 45.0, 40.0, 32.8, 32.2, 28.3, 25.0]",https://img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F21a8ba244911ae21571540513a51dca9008f0b00%3Foriginal,0,2025-12-16
서울 마포구 서교동 342-16,FD6,음식점,음식점 > 양식,27272711,02-6406-5640,비스트로주라 홍대점,서울 마포구 와우산로23길 18-7,126.92463702931563,37.55403045101288,4.4,256,88,"[16.7, 16.7, 16.1, 16.7, 17.2, 17.2, 17.2, 17.2, 17.2, 17.2, 17.2, 38.3, 51.7, 41.7, 24.4, 33.3, 31.7, 25.0, 47.2, 32.8, 22.2, 17.8, 16.7, 16.7]",https://img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F6eed192bf943afc59bb334e2da40cbf94526d0e5%3Foriginal,0,2025-12-16
서울 마포구 상수동 86-10,FD6,음식점,음식점 > 양식,916565237,010-6806-2025,가든포에트,서울 마포구 와우산로14길 12,126.923740100916,37.5501889208756,3.6,27,666,"[16.7, 16.7, 16.7, 16.7, 16.7, 17.2, 16.7, 17.2, 17.2, 17.2, 17.2, 61.1, 52.8, 40.0, 16.1, 16.1, 16.7, 45.6, 48.3, 36.1, 16.1, 27.8, 18.3, 16.7]",https://img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F333EA792A9A74F4BBE3FA53B82A617AE,0,2025-12-16
